model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2
GradientBoosting,0.9670677526871494,0.004226031748424224,18.571571439768828,1.6488840075316251,15.951909105751096,11.564256848344852,0.9759526388298702
RandomForest,0.9480049737128283,0.0019127520390784468,23.404171264087772,1.7854460221236046,18.955587353918585,13.391861669146826,0.9660439952785215
DecisionTree,0.9232116041042199,0.032097339795933974,27.85240230467424,6.93614439372828,21.197852682131114,14.583333333333334,0.9575355178088935
LinearRegression,0.9444857559349142,0.01439354441675754,24.058352886818692,4.075674947518056,23.602571413296086,19.199622759691962,0.9473545631129675
KNN,0.705135667560345,0.041090422527298304,55.55196004296688,5.230141158031639,54.76208009806299,42.03125,0.7165986167152885
SVR,0.04483830634832993,0.015027739127163202,100.26743096768895,6.75769085497218,98.82806557009702,83.53395849534947,0.07699791335734929
