top_speed_kmh,battery_capacity_kwh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,length_mm,width_mm,height_mm,battery_type_Lithium-ion,fast_charge_port_CCS,fast_charge_port_CHAdeMO,drivetrain_AWD,drivetrain_FWD,drivetrain_RWD,segment_A - Mini,segment_B - Compact,segment_C - Medium,segment_D - Large,segment_E - Executive,segment_F - Luxury,segment_G - Sports,segment_I - Luxury,segment_JA - Mini,segment_JB - Compact,segment_JC - Medium,segment_JD - Large,segment_JE - Executive,segment_JF - Luxury,segment_N - Passenger Van,car_body_type_Cabriolet,car_body_type_Coupe,car_body_type_Hatchback,car_body_type_Liftback Sedan,car_body_type_SUV,car_body_type_Sedan,car_body_type_Small Passenger Van,car_body_type_Station/Estate
0.15000000000000002,0.17063081695966903,0.015290519877675844,0.09862570735650768,0.1800766283524904,0.16363636363636366,0.2840236686390532,0.1507936507936508,0.0,0.02700555996822876,0.2857142857142857,0.023164335664335844,0.15531914893617005,0.28767123287671215,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.15000000000000002,0.17063081695966903,0.015290519877675844,0.09862570735650768,0.15325670498084287,0.16363636363636366,0.2840236686390532,0.1507936507936508,0.0,0.02700555996822876,0.2857142857142857,0.023164335664335844,0.15531914893617005,0.28767123287671215,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.375,0.3050672182006204,0.003822629969418961,0.18755052546483425,0.1877394636015326,0.26363636363636356,0.2189349112426035,0.19841269841269843,0.0,0.1660047656870532,0.4285714285714285,0.24781468531468542,0.35957446808510607,0.3470319634703194,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.375,0.3050672182006204,0.003822629969418961,0.18755052546483425,0.1877394636015326,0.26363636363636356,0.2366863905325443,0.19841269841269843,0.0,0.1660047656870532,0.4285714285714285,0.24781468531468542,0.35957446808510607,0.3470319634703194,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.125,0.4002068252326783,0.01834862385321101,0.1592562651576394,0.1800766283524904,0.32727272727272727,0.31360946745562124,0.19444444444444448,0.4,0.27402700555996823,0.4285714285714285,0.46328671328671334,0.5425531914893615,0.5646879756468799,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.17500000000000004,0.4002068252326783,0.01834862385321101,0.16329830234438153,0.15708812260536398,0.3909090909090909,0.2840236686390532,0.19444444444444448,0.4,0.2549642573471009,0.4285714285714285,0.5179195804195804,0.5744680851063828,0.4748858447488584,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.125,0.3050672182006204,0.003822629969418961,0.11883589329021828,0.07279693486590039,0.3363636363636363,0.4023668639053254,0.2222222222222222,0.0,0.19777601270849882,0.4285714285714285,0.2416958041958044,0.36382978723404236,0.30898021308980184,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.375,0.3050672182006204,0.003822629969418961,0.18755052546483425,0.210727969348659,0.3181818181818181,0.2248520710059171,0.2222222222222222,0.0,0.19777601270849882,0.4285714285714285,0.2416958041958044,0.36382978723404236,0.2678843226788432,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.17500000000000004,0.3174767321613237,0.014271151885830786,0.13904607922392886,0.11111111111111116,0.3181818181818181,0.30769230769230765,0.16269841269841273,0.2,0.13899920571882446,0.4285714285714285,0.1647727272727273,0.45319148936170217,0.27853881278538806,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.22499999999999998,0.3174767321613237,0.014271151885830786,0.15117219078415522,0.13409961685823757,0.3090909090909091,0.24852071005917153,0.16269841269841273,0.2,0.13899920571882446,0.4285714285714285,0.1647727272727273,0.45319148936170217,0.27853881278538806,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.42500000000000004,0.5635987590486038,0.009938837920489298,0.26030719482619236,0.14176245210727967,0.6,0.2248520710059171,0.4801587301587302,0.8400000000000001,0.27879269261318507,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
